id,name,rating,reviews,address,location_query,weighted_rating
w0AG6Dl5bztCdajufq76jw,Russian River Tea Company,4.9,36,"336 Center St Healdsburg, CA 95448","Healdsburg, CA",4.803822016460905
59J7CIiAss8fj3ehU4lGUA,Tong Sui,4.8,977,"250 S B St San Mateo, CA 94401","Burlingame, CA",4.796489853965019
2oGYlRxPAn0SyL9AMV5HVw,Tong Sui,4.8,810,"2400 Broadway Unit 110 Redwood City, CA 94063","Atherton, CA",4.795770155514631
HXDojBcO4nwXSanJ7HCx0A,Sugar Mama Desserts,4.8,591,"492 Barber Ln Milpitas, CA 95035","Milpitas, CA",4.794214595577945
m-KeRf7l0tVi-WJnE3pfcA,Molly Tea,4.8,568,"153 S B St San Mateo, CA 94401","Burlingame, CA",4.793982168850073
iaoxUfFwqkywzOqtRPvUuw,Cafe Brusco,4.9,32,"2000 University Ave Berkeley, CA 94704","Albany, CA",4.79328196347032
XxVJz5MLlb2PrUrij_kdYQ,Old Towne Danville Bakery & Cafe,4.8,465,"105 Town And Country Dr Ste G Danville, CA 94526","Danville, CA",4.792661963081293
dflPr9jVVxZa_bMt7iDeTQ,Hi Cafe,4.9,31,"988 El Camino Real Ste 3 South San Francisco, CA 94080","Brisbane, CA",4.790275821596244
mLR2p9EDK2d49B4mvz-DIg,Cruel Donuts,4.8,319,"35 Laurie Meadows Dr San Mateo, CA 94403","Belmont, CA",4.78935020607934
Hfpm04VukcqwvIZvZMg5Ug,Honeycomb Coffee,5.0,16,"431 1st Ave Blue Lake, CA 95562","Helena, CA",4.788038617886179
tFHkYvaE_3GbkwKdQyRrew,Laowai Noodles,4.9,30,"Daly City, CA 94014","Brisbane, CA",4.787095410628019
m65mT0r87AsEAKLg0EeAIg,Tadaima - Inner Sunset,4.8,243,"1248 9th Ave San Francisco, CA 94122","San Francisco, CA",4.786079966329965
KwMiT6kNt0tPiYz8N_-ikQ,Board and Drink,4.8,238,"1329 Columbus Ave San Francisco, CA 94109","Tiburon, CA",4.7857929553264595
XFJPThNHiuo9v6f9jdzXIQ,Nha Cafe,4.8,209,"San Jose, CA 95050","Campbell, CA",4.783863192818111
bswohm97aUDX4vmEgOfvYA,Mohka House,4.8,193,"2139 MacArthur Blvd Oakland, CA 94602","Moraga, CA",4.782555907172996
AyRr1kmIoz57bXlrOGNpHg,World Green Acai Bowl Juice,4.8,192,"546A Magnolia Ave Larkspur, CA 94939","Corte Madera, CA",4.782467133163697
jdctS17BdwQPOiz6QsXCNA,Boba Bless,4.8,173,"16 E 3rd Ave San Mateo, CA 94401","Burlingame, CA",4.780590375586854
qiQJzZ2CkNrQ75i1zcvMsA,Lightwave Coffee and Kitchen,4.8,171,"9725 Main St Monte Rio, CA 95462","Sebastopol, CA",4.78036918328585
ktoUu4BonOlZ-RrdfyYTcg,Bean Crema Coffee & Tea,4.9,28,"300 Drakes Landing Rd Greenbrae, CA 94904","Corte Madera, CA",4.780147435897436
oddDvr4P8lJc651TPBLKyQ,Livin Sweet,4.8,164,"1020 6th Ave Belmont, CA 94002","Belmont, CA",4.779553659742828
-Zz8L81AK-aSBD8WjWzs4Q,Piccolo Spuntino,5.0,15,"7687 El Camino Real Colma, CA 94014","Colma, CA",4.777168803418803
EPBxD2-V84eBw_wPCdpcIA,Kudos Tea & Coffee,5.0,15,"1111 A St Antioch, CA 94509","Antioch, CA",4.777168803418803
m8proezoEXiLdsrReW6WJw,Ana's Cafe and Espresso,4.8,141,"10333 Old Redwood Hwy Ste 103 Windsor, CA 95492","Healdsburg, CA",4.776321592210768
6lety2vr3G-66paAhhq4eQ,Verace,4.8,134,"174 S K St Livermore, CA 94550","Livermore, CA",4.7751248495788206
xFH3tC6Sj4y-hI35hag1Pg,oddcha,4.8,127,"905 F Irwin St San Rafael, CA 94901","Larkspur, CA",4.773800697084918
r125-9JtwrufZPt8nLIaLg,Squatch's Gourmet Ice Cream Sandwiches and Coffee,4.8,120,"1451 SW Blvd Ste 111 Rohnert Park, CA 94928","Rohnert Park, CA",4.7723276439089695
VFjHX3Y9RVJCi9yO0kKdug,Golden Outside,4.9,26,"543 Athol Ave Oakland, CA 94606","Oakland, CA",4.77228825136612
916ElX19bc8CFrLkoIYbqA,Haramochi Donuts,4.9,26,"South San Francisco, CA 94080","Brisbane, CA",4.77228825136612
NkPr4psUlF7QRwDzdWVexQ,Gate 6 Garden,4.9,26,"1417 Webster St Alameda, CA 94501","Alameda, CA",4.77228825136612
8OSNVtVsu_HJQVe53ptP6A,Made Out of Dough,4.8,118,"196 Old County Rd Belmont , CA 94002","Belmont, CA",4.771875850340137
Bc52Roigd4qyfkWiexwwrQ,Rosie's,4.8,118,"4666 Clayton Rd Concord, CA 94521","Clayton, CA",4.771875850340137
JdFpqE3k1YrDf8MbmfTCoA,Dream Bowlz,4.8,117,"2525 Bayfront Blvd Ste F Hercules, CA 94547","Hercules, CA",4.771644375857339
4fyDy_RMpXDaBdSPVg6ODA,R&R’s Cafe,4.8,110,"1260 Rumrill Blvd San Pablo, CA 94806","San Pablo, CA",4.769910844250364
jK6JXQkDKCJTmDNRix0PQw,Melt Me Creamery,4.8,108,"1918 Martin Luther King Junior Way Berkeley, CA 94704","Berkeley, CA",4.769375925925926
5AKHx0Hdr75WUNmRPekUbQ,The Local,4.8,105,"229 N McDowell Blvd Petaluma, CA 94954","Petaluma, CA",4.768536910197869
RaC4DTeWrwtA6j0Ay7UeSQ,Mom's Homemade Bread,4.8,103,"111950 Dublin Canyon Ave Pleasanton, CA 94588","Livermore, CA",4.767951550387597
_84-htItHLJkvAH8GEMPgw,Brazuca Acaí,4.8,100,"4500 Barrett Ave Richmond, CA 94805","El Cerrito, CA",4.7670314992025515
